"season","win_loss","win_percent"
"2004","2-3","40.00"
"2005","11-11","50.00"
"2006","40-18","68.97"
"2007","68-19","78.16"
"2008","64-17","79.01"
"2009","78-19","80.41"
"2010","61-18","77.22"
"2011","70-6","92.11"
"2012","75-12","86.21"
"2013","74-9","89.16"
"2014","61-8","88.41"
"2015","82-6","93.18"
"2016","65-9","87.84"
"2017","32-8","80.00"
"2018","56-14","80.00"
"2019","54-10","84.38"
"2020","41-5","89.13"
"2021","55-7","88.71"
"2022","42-7","85.71"
"2023","56-7","88.89"
"2024","14-6","70.00"
