"year","australian_open","roland_garros","wimbledon","us_open"
"2024","Jannik Sinner","NA","NA","NA"
"2002","Thomas Johansson","Albert Costa","Lleyton Hewitt","Pete Sampras"
"2001","Andre Agassi","Gustavo Kuerten","Goran Ivanisevic","Lleyton Hewitt"
"2000","Andre Agassi","Gustavo Kuerten","Pete Sampras","Marat Safin"
"1999","Yevgeny Kafelnikov","Andre Agassi","Pete Sampras","Andre Agassi"
"1998","Petr Korda","Carlos Moya","Pete Sampras","Patrick Rafter"
"1997","Pete Sampras","Gustavo Kuerten","Pete Sampras","Patrick Rafter"
"1996","Boris Becker","Yevgeny Kafelnikov","Richard Krajicek","Pete Sampras"
"1995","Andre Agassi","Thomas Muster","Pete Sampras","Pete Sampras"
"1994","Pete Sampras","Sergi Bruguera","Pete Sampras","Andre Agassi"
"1993","Jim Courier","Sergi Bruguera","Pete Sampras","Pete Sampras"
"1992","Jim Courier","Jim Courier","Andre Agassi","Stefan Edberg"
"1991","Boris Becker","Jim Courier","Michael Stich","Stefan Edberg"
"1990","Ivan Lendl","Andres Gomez","Stefan Edberg","Pete Sampras"
"1989","Ivan Lendl","Michael Chang","Boris Becker","Boris Becker"
"1988","Mats Wilander","Mats Wilander","Stefan Edberg","Mats Wilander"
"1987","Stefan Edberg","Ivan Lendl","Pat Cash","Ivan Lendl"
"1986","NA","Ivan Lendl","Boris Becker","Ivan Lendl"
"1985","Stefan Edberg","Mats Wilander","Boris Becker","Ivan Lendl"
"1984","Mats Wilander","Ivan Lendl","John McEnroe","John McEnroe"
"1983","Mats Wilander","Yannick Noah","John McEnroe","Jimmy Connors"
"1982","Johan Kriek","Mats Wilander","Jimmy Connors","Jimmy Connors"
"1981","Johan Kriek","Bjorn Borg","John McEnroe","John McEnroe"
"1980","Brian Teacher","Bjorn Borg","Bjorn Borg","John McEnroe"
"1979","Guillermo Vilas","Bjorn Borg","Bjorn Borg","John McEnroe"
"1978","Guillermo Vilas","Bjorn Borg","Bjorn Borg","Jimmy Connors"
"1977","Vitas Gerulaitis","Guillermo Vilas","Bjorn Borg","Guillermo Vilas"
"1976","NA","Adriano Panatta","Bjorn Borg","Jimmy Connors"
"1975","Mark Edmondson","Bjorn Borg","Arthur Ashe","Manuel Orantes"
"1974","John Newcombe","Bjorn Borg","Jimmy Connors","Jimmy Connors"
"1973","Jimmy Connors","Ilie Nastase","Jan Kodes","John Newcombe"
"1972","John Newcombe","Andres Gimeno","Stan Smith","Ilie Nastase"
"1971","Ken Rosewall","Jan Kodes","John Newcombe","Stan Smith"
"1970","Arthur Ashe","Jan Kodes","John Newcombe","Ken Rosewall"
"1969","Rod Laver","Rod Laver","Rod Laver","Rod Laver"
"1968","Bill Bowrey","Ken Rosewall","Rod Laver","Arthur Ashe"
