"year","winner_name","australian_open","roland_garros","wimbledon","us_open","gs_total"
"2024","Jannik Sinner","1","0","0","0","1"
"2021","Daniil Medvedev","0","0","0","1","1"
"2020","Dominic Thiem","0","0","0","1","1"
"2014","Marin Cilic","0","0","0","1","1"
"2009","Juan Martin del Potro","0","0","0","1","1"
"2004","Gaston Gaudio","0","1","0","0","1"
"2003","Andy Roddick","0","0","0","1","1"
"2003","Juan Carlos Ferrero","0","1","0","0","1"
"2002","Thomas Johansson","1","0","0","0","1"
"2002","Albert Costa","0","1","0","0","1"
"2001","Goran Ivanisevic","0","0","1","0","1"
"1998","Carlos Moya","0","1","0","0","1"
"1998","Petr Korda","1","0","0","0","1"
"1996","Richard Krajicek","0","0","1","0","1"
"1995","Thomas Muster","0","1","0","0","1"
"1991","Michael Stich","0","0","1","0","1"
"1990","Andres Gomez","0","1","0","0","1"
"1989","Michael Chang","0","1","0","0","1"
"1987","Pat Cash","0","0","1","0","1"
"1983","Yannick Noah","0","1","0","0","1"
"1980","Brian Teacher","1","0","0","0","1"
"1977","Vitas Gerulaitis","1","0","0","0","1"
"1977","Roscoe Tanner","1","0","0","0","1"
"1976","Adriano Panatta","0","1","0","0","1"
"1975","Mark Edmondson","1","0","0","0","1"
"1975","Manuel Orantes","0","0","0","1","1"
"1972","Andres Gimeno","0","1","0","0","1"
"1968","Bill Bowrey","1","0","0","0","1"
